DateTime,vehicle_count_per_hour,average_speed_per_hour,PH Bool,Day,Time
01/08/2023 00:00,78,77,0,01/08/2023,00:00:00
01/08/2023 01:00,54,85,0,01/08/2023,01:00:00
01/08/2023 02:00,44,82,0,01/08/2023,02:00:00
01/08/2023 03:00,42,79,0,01/08/2023,03:00:00
01/08/2023 04:00,56,82,0,01/08/2023,04:00:00
01/08/2023 05:00,124,79,0,01/08/2023,05:00:00
01/08/2023 06:00,169,82,0,01/08/2023,06:00:00
01/08/2023 07:00,111,81,0,01/08/2023,07:00:00
01/08/2023 08:00,132,78,0,01/08/2023,08:00:00
01/08/2023 09:00,148,75,0,01/08/2023,09:00:00
01/08/2023 10:00,135,75,0,01/08/2023,10:00:00
01/08/2023 11:00,135,77,0,01/08/2023,11:00:00
01/08/2023 12:00,137,79,0,01/08/2023,12:00:00
01/08/2023 13:00,167,79,0,01/08/2023,13:00:00
01/08/2023 14:00,499,77,0,01/08/2023,14:00:00
01/08/2023 15:00,535,76,0,01/08/2023,15:00:00
01/08/2023 16:00,566,78,0,01/08/2023,16:00:00
01/08/2023 17:00,658,78,0,01/08/2023,17:00:00
01/08/2023 18:00,651,78,0,01/08/2023,18:00:00
01/08/2023 19:00,509,77,0,01/08/2023,19:00:00
01/08/2023 20:00,364,77,0,01/08/2023,20:00:00
01/08/2023 21:00,209,77,0,01/08/2023,21:00:00
01/08/2023 22:00,151,79,0,01/08/2023,22:00:00
01/08/2023 23:00,152,78,0,01/08/2023,23:00:00
02/08/2023 00:00,71,83,0,02/08/2023,00:00:00
02/08/2023 01:00,50,83,0,02/08/2023,01:00:00
02/08/2023 02:00,29,79,0,02/08/2023,02:00:00
02/08/2023 03:00,41,83,0,02/08/2023,03:00:00
02/08/2023 04:00,77,83,0,02/08/2023,04:00:00
02/08/2023 05:00,154,78,0,02/08/2023,05:00:00
02/08/2023 06:00,338,83,0,02/08/2023,06:00:00
02/08/2023 07:00,381,82,0,02/08/2023,07:00:00
02/08/2023 08:00,504,78,0,02/08/2023,08:00:00
02/08/2023 09:00,676,77,0,02/08/2023,09:00:00
02/08/2023 10:00,645,75,0,02/08/2023,10:00:00
02/08/2023 11:00,603,76,0,02/08/2023,11:00:00
02/08/2023 12:00,536,77,0,02/08/2023,12:00:00
02/08/2023 13:00,516,79,0,02/08/2023,13:00:00
02/08/2023 14:00,522,81,0,02/08/2023,14:00:00
02/08/2023 15:00,534,80,0,02/08/2023,15:00:00
02/08/2023 16:00,511,78,0,02/08/2023,16:00:00
02/08/2023 17:00,523,78,0,02/08/2023,17:00:00
02/08/2023 18:00,516,81,0,02/08/2023,18:00:00
02/08/2023 19:00,516,78,0,02/08/2023,19:00:00
02/08/2023 20:00,326,78,0,02/08/2023,20:00:00
02/08/2023 21:00,215,74,0,02/08/2023,21:00:00
02/08/2023 22:00,162,77,0,02/08/2023,22:00:00
02/08/2023 23:00,120,81,0,02/08/2023,23:00:00
03/08/2023 00:00,93,81,0,03/08/2023,00:00:00
03/08/2023 01:00,58,88,0,03/08/2023,01:00:00
03/08/2023 02:00,29,83,0,03/08/2023,02:00:00
03/08/2023 03:00,27,83,0,03/08/2023,03:00:00
03/08/2023 04:00,64,74,0,03/08/2023,04:00:00
03/08/2023 05:00,165,77,0,03/08/2023,05:00:00
03/08/2023 06:00,327,83,0,03/08/2023,06:00:00
03/08/2023 07:00,499,80,0,03/08/2023,07:00:00
03/08/2023 08:00,529,77,0,03/08/2023,08:00:00
03/08/2023 09:00,718,76,0,03/08/2023,09:00:00
03/08/2023 10:00,786,73,0,03/08/2023,10:00:00
03/08/2023 11:00,665,75,0,03/08/2023,11:00:00
03/08/2023 12:00,517,75,0,03/08/2023,12:00:00
03/08/2023 13:00,578,81,0,03/08/2023,13:00:00
03/08/2023 14:00,538,79,0,03/08/2023,14:00:00
03/08/2023 15:00,570,77,0,03/08/2023,15:00:00
03/08/2023 16:00,581,79,0,03/08/2023,16:00:00
03/08/2023 17:00,676,80,0,03/08/2023,17:00:00
03/08/2023 18:00,572,80,0,03/08/2023,18:00:00
03/08/2023 19:00,610,79,0,03/08/2023,19:00:00
03/08/2023 20:00,421,78,0,03/08/2023,20:00:00
03/08/2023 21:00,252,78,0,03/08/2023,21:00:00
03/08/2023 22:00,165,75,0,03/08/2023,22:00:00
03/08/2023 23:00,149,76,0,03/08/2023,23:00:00
04/08/2023 00:00,83,80,0,04/08/2023,00:00:00
04/08/2023 01:00,39,77,0,04/08/2023,01:00:00
04/08/2023 02:00,37,78,0,04/08/2023,02:00:00
04/08/2023 03:00,42,81,0,04/08/2023,03:00:00
04/08/2023 04:00,62,81,0,04/08/2023,04:00:00
04/08/2023 05:00,158,75,0,04/08/2023,05:00:00
04/08/2023 06:00,319,83,0,04/08/2023,06:00:00
04/08/2023 07:00,461,81,0,04/08/2023,07:00:00
04/08/2023 08:00,586,80,0,04/08/2023,08:00:00
04/08/2023 09:00,787,76,0,04/08/2023,09:00:00
04/08/2023 10:00,694,76,0,04/08/2023,10:00:00
04/08/2023 11:00,659,75,0,04/08/2023,11:00:00
04/08/2023 12:00,558,77,0,04/08/2023,12:00:00
04/08/2023 13:00,591,80,0,04/08/2023,13:00:00
04/08/2023 14:00,634,80,0,04/08/2023,14:00:00
04/08/2023 15:00,684,80,0,04/08/2023,15:00:00
04/08/2023 16:00,829,78,0,04/08/2023,16:00:00
04/08/2023 17:00,854,77,0,04/08/2023,17:00:00
04/08/2023 18:00,953,76,0,04/08/2023,18:00:00
04/08/2023 19:00,810,75,0,04/08/2023,19:00:00
04/08/2023 20:00,630,75,0,04/08/2023,20:00:00
04/08/2023 21:00,358,75,0,04/08/2023,21:00:00
04/08/2023 22:00,234,78,0,04/08/2023,22:00:00
04/08/2023 23:00,202,80,0,04/08/2023,23:00:00
05/08/2023 00:00,133,79,0,05/08/2023,00:00:00
05/08/2023 01:00,91,81,0,05/08/2023,01:00:00
05/08/2023 02:00,58,82,0,05/08/2023,02:00:00
05/08/2023 03:00,54,79,0,05/08/2023,03:00:00
05/08/2023 04:00,63,77,0,05/08/2023,04:00:00
05/08/2023 05:00,137,79,0,05/08/2023,05:00:00
05/08/2023 06:00,326,80,0,05/08/2023,06:00:00
05/08/2023 07:00,425,81,0,05/08/2023,07:00:00
05/08/2023 08:00,539,77,0,05/08/2023,08:00:00
05/08/2023 09:00,727,75,0,05/08/2023,09:00:00
05/08/2023 10:00,782,74,0,05/08/2023,10:00:00
