DateTime,vehicle_count_per_hour,average_speed_per_hour,PH Bool,Day,Time,datetimeEpoch,temp,feelslike,humidity,dew,precip,precipprob,windgust,windspeed,winddir,pressure,visibility,cloudcover,solarradiation,solarenergy,uvindex,conditions
01/08/2023 00:00,78,77,0,01/08/2023,00:00:00,1690840800,26.9,29.2,74.82,22.1,0,0,25.9,25.9,310,1010.9,16.6,0,,,,Clear
01/08/2023 01:00,54,85,0,01/08/2023,01:00:00,1690844400,26.8,28.9,74.11,21.8,0,0,20.5,19.5,330,1010.7,14.1,0,,,,Clear
01/08/2023 02:00,44,82,0,01/08/2023,02:00:00,1690848000,26.9,29.5,78.29,22.8,0,0,20.5,20.5,345,1010.1,14.1,0,,,,Clear
01/08/2023 03:00,42,79,0,01/08/2023,03:00:00,1690851600,26.1,26.1,76,21.5,0,0,18.4,17.4,335,1009.9,17.1,0,,,,Clear
01/08/2023 04:00,56,82,0,01/08/2023,04:00:00,1690855200,25.6,25.6,75.55,20.9,0,0,14.8,13.9,320,1009.9,18.7,0,,,,Clear
01/08/2023 05:00,124,79,0,01/08/2023,05:00:00,1690858800,24.9,24.9,79.23,21.1,0,0,13,13.8,320,1010,19.7,0,,,,Clear
01/08/2023 06:00,169,82,0,01/08/2023,06:00:00,1690862400,25.2,25.2,79.02,21.3,0,0,13,13,335,1010,19.2,0,,,,Clear
01/08/2023 07:00,111,81,0,01/08/2023,07:00:00,1690866000,25.3,25.3,78.6,21.3,0,0,11.2,10.4,320,1010.2,18.6,0,,,,Clear
01/08/2023 08:00,132,78,0,01/08/2023,08:00:00,1690869600,27.9,30.2,67.43,21.4,0,0,18.7,14.8,325,1010.2,19.7,30,,,,Partially cloudy
01/08/2023 09:00,148,75,0,01/08/2023,09:00:00,1690873200,29.3,31.5,59.83,20.7,0,0,23.4,13.9,325,1010.8,22.8,0,,,,Clear
01/08/2023 10:00,135,75,0,01/08/2023,10:00:00,1690876800,30.5,32.7,55.19,20.5,0,0,14.8,13,320,1010.8,22.8,30,,,,Partially cloudy
01/08/2023 11:00,135,77,0,01/08/2023,11:00:00,1690880400,31.5,34,52.62,20.6,0,0,13,12,360,1010.8,20.2,30,,,,Partially cloudy
01/08/2023 12:00,137,79,0,01/08/2023,12:00:00,1690884000,32.6,36,51.61,21.4,0,0,13,12,335,1010.7,17.7,30,,,,Partially cloudy
01/08/2023 13:00,167,79,0,01/08/2023,13:00:00,1690887600,33.1,35.5,46.41,20.1,0,0,25.9,16.6,320,1010.6,20.2,30,,,,Partially cloudy
01/08/2023 14:00,499,77,0,01/08/2023,14:00:00,1690891200,32.9,34.5,43.35,18.8,0,0,16.6,16.6,300,1009.9,17.7,30,,,,Partially cloudy
01/08/2023 15:00,535,76,0,01/08/2023,15:00:00,1690894800,32.6,34.3,45.29,19.2,0,0,20.5,22.3,310,1009.8,17.7,30,,,,Partially cloudy
01/08/2023 16:00,566,78,0,01/08/2023,16:00:00,1690898400,31.7,33.8,49.84,19.9,0,0,22.3,22.3,285,1009.8,17.7,30,,,,Partially cloudy
