,From,,To,Total,Total Per Hour,pcu,Car,Light goods vehicle,Heavy goods vehicle,Bus,Motorcycle,Bicycle
96,01/09/2023,00:00:00+02:00,2023-09-01T00:15:00+02:00,8,,9,7,0,0,1,0,0
96,01/09/2023,00:15:00+02:00,2023-09-01T00:30:00+02:00,9,,9,9,0,0,0,0,0
96,01/09/2023,00:30:00+02:00,2023-09-01T00:45:00+02:00,15,,16.7,11,1,1,1,1,0
96,01/09/2023,00:45:00+02:00,2023-09-01T01:00:00+02:00,5,37,6,3,1,0,1,0,0
96,01/09/2023,01:00:00+02:00,2023-09-01T01:15:00+02:00,8,,8,7,1,0,0,0,0
96,01/09/2023,01:15:00+02:00,2023-09-01T01:30:00+02:00,10,,10,10,0,0,0,0,0
96,01/09/2023,01:30:00+02:00,2023-09-01T01:45:00+02:00,6,,6,5,1,0,0,0,0
96,01/09/2023,01:45:00+02:00,2023-09-01T02:00:00+02:00,8,32,8,8,0,0,0,0,0
96,01/09/2023,02:00:00+02:00,2023-09-01T02:15:00+02:00,11,,12.3,9,1,1,0,0,0
96,01/09/2023,02:15:00+02:00,2023-09-01T02:30:00+02:00,6,,6,6,0,0,0,0,0
96,01/09/2023,02:30:00+02:00,2023-09-01T02:45:00+02:00,3,,3,3,0,0,0,0,0
96,01/09/2023,02:45:00+02:00,2023-09-01T03:00:00+02:00,8,28,8,5,3,0,0,0,0
96,01/09/2023,03:00:00+02:00,2023-09-01T03:15:00+02:00,6,,6,6,0,0,0,0,0
96,01/09/2023,03:15:00+02:00,2023-09-01T03:30:00+02:00,10,,10,8,2,0,0,0,0
96,01/09/2023,03:30:00+02:00,2023-09-01T03:45:00+02:00,7,,7,7,0,0,0,0,0
96,01/09/2023,03:45:00+02:00,2023-09-01T04:00:00+02:00,8,31,9.3,7,0,1,0,0,0
96,01/09/2023,04:00:00+02:00,2023-09-01T04:15:00+02:00,6,,7.3,4,1,1,0,0,0
96,01/09/2023,04:15:00+02:00,2023-09-01T04:30:00+02:00,14,,17.9,10,1,3,0,0,0
96,01/09/2023,04:30:00+02:00,2023-09-01T04:45:00+02:00,14,,15.3,11,2,1,0,0,0
96,01/09/2023,04:45:00+02:00,2023-09-01T05:00:00+02:00,16,50,18.6,12,2,2,0,0,0
96,01/09/2023,05:00:00+02:00,2023-09-01T05:15:00+02:00,24,,29.2,19,1,4,0,0,0
96,01/09/2023,05:15:00+02:00,2023-09-01T05:30:00+02:00,26,,29.9,19,4,3,0,0,0
96,01/09/2023,05:30:00+02:00,2023-09-01T05:45:00+02:00,36,,36,31,5,0,0,0,0
96,01/09/2023,05:45:00+02:00,2023-09-01T06:00:00+02:00,40,126,42,30,8,0,2,0,0
96,01/09/2023,06:00:00+02:00,2023-09-01T06:15:00+02:00,43,,44,34,8,0,1,0,0
96,01/09/2023,06:15:00+02:00,2023-09-01T06:30:00+02:00,65,,69.6,46,15,2,2,0,0
96,01/09/2023,06:30:00+02:00,2023-09-01T06:45:00+02:00,41,,42.1,25,12,1,1,2,0
96,01/09/2023,06:45:00+02:00,2023-09-01T07:00:00+02:00,79,228,87,48,20,6,2,3,0
96,01/09/2023,07:00:00+02:00,2023-09-01T07:15:00+02:00,24,,26.3,15,7,1,1,0,0
96,01/09/2023,07:15:00+02:00,2023-09-01T07:30:00+02:00,38,,42.6,26,7,4,0,1,0
96,01/09/2023,07:30:00+02:00,2023-09-01T07:45:00+02:00,83,,87.7,63,13,3,2,2,0
96,01/09/2023,07:45:00+02:00,2023-09-01T08:00:00+02:00,59,204,65.6,43,10,2,4,0,0
96,01/09/2023,08:00:00+02:00,2023-09-01T08:15:00+02:00,47,,49,28,16,2,0,1,0
96,01/09/2023,08:15:00+02:00,2023-09-01T08:30:00+02:00,87,,92.4,66,13,2,4,2,0
96,01/09/2023,08:30:00+02:00,2023-09-01T08:45:00+02:00,45,,49.7,28,10,3,2,2,0
96,01/09/2023,08:45:00+02:00,2023-09-01T09:00:00+02:00,67,246,65.8,47,18,0,0,2,0
96,01/09/2023,09:00:00+02:00,2023-09-01T09:15:00+02:00,52,,55.3,39,10,1,2,0,0
96,01/09/2023,09:15:00+02:00,2023-09-01T09:30:00+02:00,53,,56.7,31,17,1,3,1,0
96,01/09/2023,09:30:00+02:00,2023-09-01T09:45:00+02:00,59,,59.7,41,16,1,0,1,0
96,01/09/2023,09:45:00+02:00,2023-09-01T10:00:00+02:00,84,248,85.5,68,10,1,2,3,0
96,01/09/2023,10:00:00+02:00,2023-09-01T10:15:00+02:00,53,,54.3,45,7,1,0,0,0
96,01/09/2023,10:15:00+02:00,2023-09-01T10:30:00+02:00,70,,70.9,51,12,1,2,4,0
96,01/09/2023,10:30:00+02:00,2023-09-01T10:45:00+02:00,55,,56.2,45,3,2,1,4,0
96,01/09/2023,10:45:00+02:00,2023-09-01T11:00:00+02:00,44,222,44.6,30,7,0,3,4,0
96,01/09/2023,11:00:00+02:00,2023-09-01T11:15:00+02:00,47,,51.2,28,9,2,4,4,0
96,01/09/2023,11:15:00+02:00,2023-09-01T11:30:00+02:00,65,,69.4,51,7,2,3,2,0
96,01/09/2023,11:30:00+02:00,2023-09-01T11:45:00+02:00,49,,49.4,43,4,0,1,1,0
96,01/09/2023,11:45:00+02:00,2023-09-01T12:00:00+02:00,73,234,72.3,64,5,1,0,2,1
96,01/09/2023,12:00:00+02:00,2023-09-01T12:15:00+02:00,33,,34.1,24,5,1,1,2,0
96,01/09/2023,12:15:00+02:00,2023-09-01T12:30:00+02:00,61,,61.5,49,7,1,1,3,0
96,01/09/2023,12:30:00+02:00,2023-09-01T12:45:00+02:00,54,,56.5,41,5,3,1,4,0
96,01/09/2023,12:45:00+02:00,2023-09-01T13:00:00+02:00,60,208,60.4,48,10,0,1,1,0
96,01/09/2023,13:00:00+02:00,2023-09-01T13:15:00+02:00,40,,39.8,30,7,0,1,2,0
96,01/09/2023,13:15:00+02:00,2023-09-01T13:30:00+02:00,74,,76.8,54,13,2,2,3,0
96,01/09/2023,13:30:00+02:00,2023-09-01T13:45:00+02:00,54,,56.4,44,6,0,3,1,0
96,01/09/2023,13:45:00+02:00,2023-09-01T14:00:00+02:00,35,203,33.8,28,5,0,0,2,0
