"From","To","Total","pcu","Car","Light goods vehicle","Heavy goods vehicle","Bus","Motorcycle","Bicycle"
"2023-11-01T00:00:00+01:00","2023-11-01T00:15:00+01:00","15","17.3","13","0","1","1","0","0"
"2023-11-01T00:15:00+01:00","2023-11-01T00:30:00+01:00","16","18.0","14","0","0","2","0","0"
"2023-11-01T00:30:00+01:00","2023-11-01T00:45:00+01:00","7","7.0","7","0","0","0","0","0"
"2023-11-01T00:45:00+01:00","2023-11-01T01:00:00+01:00","7","6.4","6","0","0","0","1","0"
"2023-11-01T01:00:00+01:00","2023-11-01T01:15:00+01:00","5","5.0","5","0","0","0","0","0"
"2023-11-01T01:15:00+01:00","2023-11-01T01:30:00+01:00","6","6.0","6","0","0","0","0","0"
"2023-11-01T01:30:00+01:00","2023-11-01T01:45:00+01:00","1","1.0","1","0","0","0","0","0"
"2023-11-01T01:45:00+01:00","2023-11-01T02:00:00+01:00","5","5.0","4","1","0","0","0","0"
"2023-11-01T02:00:00+01:00","2023-11-01T02:15:00+01:00","2","2.0","2","0","0","0","0","0"
"2023-11-01T02:15:00+01:00","2023-11-01T02:30:00+01:00","4","4.0","3","1","0","0","0","0"
"2023-11-01T02:30:00+01:00","2023-11-01T02:45:00+01:00","1","1.0","1","0","0","0","0","0"
"2023-11-01T02:45:00+01:00","2023-11-01T03:00:00+01:00","2","2.0","2","0","0","0","0","0"
"2023-11-01T03:00:00+01:00","2023-11-01T03:15:00+01:00","6","6.0","5","1","0","0","0","0"
"2023-11-01T03:15:00+01:00","2023-11-01T03:30:00+01:00","11","10.4","7","3","0","0","1","0"
"2023-11-01T03:30:00+01:00","2023-11-01T03:45:00+01:00","19","19.7","14","3","1","0","1","0"
"2023-11-01T03:45:00+01:00","2023-11-01T04:00:00+01:00","16","18.3","12","2","1","1","0","0"
"2023-11-01T04:00:00+01:00","2023-11-01T04:15:00+01:00","13","13.0","3","10","0","0","0","0"
"2023-11-01T04:15:00+01:00","2023-11-01T04:30:00+01:00","28","31.3","16","9","1","2","0","0"
"2023-11-01T04:30:00+01:00","2023-11-01T04:45:00+01:00","28","31.6","19","6","2","1","0","0"
"2023-11-01T04:45:00+01:00","2023-11-01T05:00:00+01:00","34","35.4","26","5","0","2","1","0"
"2023-11-01T05:00:00+01:00","2023-11-01T05:15:00+01:00","49","51.3","39","8","1","1","0","0"
"2023-11-01T05:15:00+01:00","2023-11-01T05:30:00+01:00","53","52.4","43","9","0","0","1","0"
"2023-11-01T05:30:00+01:00","2023-11-01T05:45:00+01:00","52","51.4","44","7","0","0","1","0"
"2023-11-01T05:45:00+01:00","2023-11-01T06:00:00+01:00","48","51.7","36","7","1","3","1","0"
"2023-11-01T06:00:00+01:00","2023-11-01T06:15:00+01:00","61","64.3","50","7","3","0","1","0"
"2023-11-01T06:15:00+01:00","2023-11-01T06:30:00+01:00","77","78.7","61","13","1","1","1","0"
"2023-11-01T06:30:00+01:00","2023-11-01T06:45:00+01:00","109","112.4","78","25","2","2","2","0"
"2023-11-01T06:45:00+01:00","2023-11-01T07:00:00+01:00","105","108.4","77","22","2","2","2","0"
"2023-11-01T07:00:00+01:00","2023-11-01T07:15:00+01:00","108","112.0","85","19","0","4","0","0"
"2023-11-01T07:15:00+01:00","2023-11-01T07:30:00+01:00","97","99.0","69","17","2","3","6","0"
"2023-11-01T07:30:00+01:00","2023-11-01T07:45:00+01:00","97","102.7","73","17","1","5","1","0"
"2023-11-01T07:45:00+01:00","2023-11-01T08:00:00+01:00","117","124.9","84","21","3","6","2","1"
