Date,Time,Count,Avg Speed [km/h],PH,PH Bool
01/07/2023,00:00 - 01:00,83,95,#N/A,0
01/07/2023,01:00 - 02:00,61,91,#N/A,0
01/07/2023,02:00 - 03:00,39,86,#N/A,0
01/07/2023,03:00 - 04:00,46,89,#N/A,0
01/07/2023,04:00 - 05:00,72,94,#N/A,0
01/07/2023,05:00 - 06:00,113,95,#N/A,0
01/07/2023,06:00 - 07:00,280,98,#N/A,0
01/07/2023,07:00 - 08:00,452,93,#N/A,0
01/07/2023,08:00 - 09:00,671,89,#N/A,0
01/07/2023,09:00 - 10:00,747,86,#N/A,0
01/07/2023,10:00 - 11:00,749,89,#N/A,0
01/07/2023,11:00 - 12:00,722,89,#N/A,0
01/07/2023,12:00 - 13:00,670,90,#N/A,0
01/07/2023,13:00 - 14:00,591,90,#N/A,0
01/07/2023,14:00 - 15:00,567,92,#N/A,0
01/07/2023,15:00 - 16:00,539,90,#N/A,0
01/07/2023,16:00 - 17:00,562,91,#N/A,0
01/07/2023,17:00 - 18:00,608,90,#N/A,0
01/07/2023,18:00 - 19:00,539,91,#N/A,0
01/07/2023,19:00 - 20:00,273,94,#N/A,0
01/07/2023,20:00 - 21:00,379,92,#N/A,0
01/07/2023,21:00 - 22:00,240,88,#N/A,0
01/07/2023,22:00 - 23:00,234,88,#N/A,0
01/07/2023,23:00 - 24:00,189,96,#N/A,0
02/07/2023,00:00 - 01:00,167,100,#N/A,0
02/07/2023,01:00 - 02:00,82,104,#N/A,0
02/07/2023,02:00 - 03:00,46,91,#N/A,0
02/07/2023,03:00 - 04:00,28,103,#N/A,0
02/07/2023,04:00 - 05:00,50,89,#N/A,0
02/07/2023,05:00 - 06:00,80,97,#N/A,0
02/07/2023,06:00 - 07:00,195,101,#N/A,0
02/07/2023,07:00 - 08:00,349,94,#N/A,0
02/07/2023,08:00 - 09:00,276,90,#N/A,0
02/07/2023,09:00 - 10:00,255,89,#N/A,0
02/07/2023,10:00 - 11:00,213,84,#N/A,0
02/07/2023,11:00 - 12:00,190,77,#N/A,0
02/07/2023,12:00 - 13:00,170,86,#N/A,0
02/07/2023,13:00 - 14:00,199,81,#N/A,0
02/07/2023,14:00 - 15:00,160,67,#N/A,0
02/07/2023,15:00 - 16:00,150,66,#N/A,0
02/07/2023,16:00 - 17:00,167,66,#N/A,0
02/07/2023,17:00 - 18:00,174,70,#N/A,0
02/07/2023,18:00 - 19:00,132,67,#N/A,0
02/07/2023,19:00 - 20:00,105,73,#N/A,0
02/07/2023,20:00 - 21:00,112,90,#N/A,0
02/07/2023,21:00 - 22:00,84,90,#N/A,0
02/07/2023,22:00 - 23:00,113,93,#N/A,0
02/07/2023,23:00 - 24:00,101,92,#N/A,0
03/07/2023,00:00 - 01:00,70,98,#N/A,0
03/07/2023,01:00 - 02:00,45,97,#N/A,0
03/07/2023,02:00 - 03:00,29,114,#N/A,0
03/07/2023,03:00 - 04:00,32,95,#N/A,0
03/07/2023,04:00 - 05:00,44,101,#N/A,0
03/07/2023,05:00 - 06:00,117,101,#N/A,0
03/07/2023,06:00 - 07:00,179,99,#N/A,0
03/07/2023,07:00 - 08:00,176,99,#N/A,0
03/07/2023,08:00 - 09:00,202,92,#N/A,0
03/07/2023,09:00 - 10:00,172,91,#N/A,0
03/07/2023,10:00 - 11:00,249,84,#N/A,0
03/07/2023,11:00 - 12:00,197,91,#N/A,0
03/07/2023,12:00 - 13:00,278,90,#N/A,0
03/07/2023,13:00 - 14:00,213,89,#N/A,0
03/07/2023,14:00 - 15:00,207,91,#N/A,0
03/07/2023,15:00 - 16:00,425,62,#N/A,0
03/07/2023,16:00 - 17:00,453,62,#N/A,0
03/07/2023,17:00 - 18:00,481,63,#N/A,0
