FromDate,FromTime,ToDate,ToTime,Total,Total Per Hour,pcu
01/09/2023,00:00,01/09/2023,00:15,8,,9
01/09/2023,00:15,01/09/2023,00:30,9,,9
01/09/2023,00:30,01/09/2023,00:45,15,,16.7
01/09/2023,00:45,01/09/2023,01:00,5,37,6
01/09/2023,01:00,01/09/2023,01:15,8,,8
01/09/2023,01:15,01/09/2023,01:30,10,,10
01/09/2023,01:30,01/09/2023,01:45,6,,6
01/09/2023,01:45,01/09/2023,02:00,8,32,8
01/09/2023,02:00,01/09/2023,02:15,11,,12.3
01/09/2023,02:15,01/09/2023,02:30,6,,6
01/09/2023,02:30,01/09/2023,02:45,3,,3
01/09/2023,02:45,01/09/2023,03:00,8,28,8
01/09/2023,03:00,01/09/2023,03:15,6,,6
01/09/2023,03:15,01/09/2023,03:30,10,,10
01/09/2023,03:30,01/09/2023,03:45,7,,7
01/09/2023,03:45,01/09/2023,04:00,8,31,9.3
01/09/2023,04:00,01/09/2023,04:15,6,,7.3
01/09/2023,04:15,01/09/2023,04:30,14,,17.9
01/09/2023,04:30,01/09/2023,04:45,14,,15.3
01/09/2023,04:45,01/09/2023,05:00,16,50,18.6
01/09/2023,05:00,01/09/2023,05:15,24,,29.2
01/09/2023,05:15,01/09/2023,05:30,26,,29.9
01/09/2023,05:30,01/09/2023,05:45,36,,36
01/09/2023,05:45,01/09/2023,06:00,40,126,42
01/09/2023,06:00,01/09/2023,06:15,43,,44
01/09/2023,06:15,01/09/2023,06:30,65,,69.6
01/09/2023,06:30,01/09/2023,06:45,41,,42.1
01/09/2023,06:45,01/09/2023,07:00,79,228,87
01/09/2023,07:00,01/09/2023,07:15,24,,26.3
01/09/2023,07:15,01/09/2023,07:30,38,,42.6
01/09/2023,07:30,01/09/2023,07:45,83,,87.7
01/09/2023,07:45,01/09/2023,08:00,59,204,65.6
01/09/2023,08:00,01/09/2023,08:15,47,,49
01/09/2023,08:15,01/09/2023,08:30,87,,92.4
01/09/2023,08:30,01/09/2023,08:45,45,,49.7
01/09/2023,08:45,01/09/2023,09:00,67,246,65.8
01/09/2023,09:00,01/09/2023,09:15,52,,55.3
01/09/2023,09:15,01/09/2023,09:30,53,,56.7
01/09/2023,09:30,01/09/2023,09:45,59,,59.7
01/09/2023,09:45,01/09/2023,10:00,84,248,85.5
01/09/2023,10:00,01/09/2023,10:15,53,,54.3
01/09/2023,10:15,01/09/2023,10:30,70,,70.9
01/09/2023,10:30,01/09/2023,10:45,55,,56.2
01/09/2023,10:45,01/09/2023,11:00,44,222,44.6
01/09/2023,11:00,01/09/2023,11:15,47,,51.2
01/09/2023,11:15,01/09/2023,11:30,65,,69.4
01/09/2023,11:30,01/09/2023,11:45,49,,49.4
01/09/2023,11:45,01/09/2023,12:00,73,234,72.3
01/09/2023,12:00,01/09/2023,12:15,33,,34.1
01/09/2023,12:15,01/09/2023,12:30,61,,61.5
01/09/2023,12:30,01/09/2023,12:45,54,,56.5
01/09/2023,12:45,01/09/2023,13:00,60,208,60.4
01/09/2023,13:00,01/09/2023,13:15,40,,39.8
01/09/2023,13:15,01/09/2023,13:30,74,,76.8
01/09/2023,13:30,01/09/2023,13:45,54,,56.4
01/09/2023,13:45,01/09/2023,14:00,35,203,33.8
01/09/2023,14:00,01/09/2023,14:15,40,,43.9
01/09/2023,14:15,01/09/2023,14:30,48,,49.3
01/09/2023,14:30,01/09/2023,14:45,41,,43
01/09/2023,14:45,01/09/2023,15:00,43,172,47.4
01/09/2023,15:00,01/09/2023,15:15,28,,26.2
01/09/2023,15:15,01/09/2023,15:30,52,,54
01/09/2023,15:30,01/09/2023,15:45,66,,67.2
01/09/2023,15:45,01/09/2023,16:00,52,198,54.1
01/09/2023,16:00,01/09/2023,16:15,50,,52.1
01/09/2023,16:15,01/09/2023,16:30,54,,55.7
01/09/2023,16:30,01/09/2023,16:45,42,,42.7
01/09/2023,16:45,01/09/2023,17:00,37,183,38.3
01/09/2023,17:00,01/09/2023,17:15,36,,34.8
01/09/2023,17:15,01/09/2023,17:30,39,,38.4
01/09/2023,17:30,01/09/2023,17:45,80,,80.8
01/09/2023,17:45,01/09/2023,18:00,56,211,54.8
01/09/2023,18:00,01/09/2023,18:15,39,,40.4
01/09/2023,18:15,01/09/2023,18:30,29,,29.6
01/09/2023,18:30,01/09/2023,18:45,54,,52.2
01/09/2023,18:45,01/09/2023,19:00,66,188,72
01/09/2023,19:00,01/09/2023,19:15,25,,25.4
01/09/2023,19:15,01/09/2023,19:30,65,,65.4
01/09/2023,19:30,01/09/2023,19:45,67,,67.8
01/09/2023,19:45,01/09/2023,20:00,68,225,68.4
01/09/2023,20:00,01/09/2023,20:15,63,,63.8
01/09/2023,20:15,01/09/2023,20:30,43,,42.4
01/09/2023,20:30,01/09/2023,20:45,69,,73.6
01/09/2023,20:45,01/09/2023,21:00,60,235,59.8
01/09/2023,21:00,01/09/2023,21:15,64,,69
01/09/2023,21:15,01/09/2023,21:30,54,,55.8
