"From","To","Total","pcu","Car","Light goods vehicle","Heavy goods vehicle","Bus","Motorcycle","Bicycle"
"2024-02-01T00:00:00+01:00","2024-02-01T00:15:00+01:00","9","13.0","5","0","0","4","0","0"
"2024-02-01T00:15:00+01:00","2024-02-01T00:30:00+01:00","21","20.4","20","0","0","0","1","0"
"2024-02-01T00:30:00+01:00","2024-02-01T00:45:00+01:00","6","6.4","3","1","0","1","1","0"
"2024-02-01T00:45:00+01:00","2024-02-01T01:00:00+01:00","5","6.0","4","0","0","1","0","0"
"2024-02-01T01:00:00+01:00","2024-02-01T01:15:00+01:00","7","8.3","1","5","1","0","0","0"
"2024-02-01T01:15:00+01:00","2024-02-01T01:30:00+01:00","9","11.0","4","3","0","2","0","0"
"2024-02-01T01:30:00+01:00","2024-02-01T01:45:00+01:00","5","7.0","1","2","0","2","0","0"
"2024-02-01T01:45:00+01:00","2024-02-01T02:00:00+01:00","6","7.3","3","2","1","0","0","0"
"2024-02-01T02:00:00+01:00","2024-02-01T02:15:00+01:00","4","5.0","1","2","0","1","0","0"
"2024-02-01T02:15:00+01:00","2024-02-01T02:30:00+01:00","3","4.0","2","0","0","1","0","0"
"2024-02-01T02:30:00+01:00","2024-02-01T02:45:00+01:00","12","13.0","5","6","0","1","0","0"
"2024-02-01T02:45:00+01:00","2024-02-01T03:00:00+01:00","8","9.0","5","2","0","1","0","0"
"2024-02-01T03:00:00+01:00","2024-02-01T03:15:00+01:00","10","13.6","6","1","2","1","0","0"
"2024-02-01T03:15:00+01:00","2024-02-01T03:30:00+01:00","12","13.3","6","5","1","0","0","0"
"2024-02-01T03:30:00+01:00","2024-02-01T03:45:00+01:00","13","15.3","8","3","1","1","0","0"
"2024-02-01T03:45:00+01:00","2024-02-01T04:00:00+01:00","14","18.6","7","3","2","2","0","0"
"2024-02-01T04:00:00+01:00","2024-02-01T04:15:00+01:00","14","16.0","4","8","0","2","0","0"
"2024-02-01T04:15:00+01:00","2024-02-01T04:30:00+01:00","14","18.6","2","8","2","2","0","0"
"2024-02-01T04:30:00+01:00","2024-02-01T04:45:00+01:00","46","50.7","24","16","1","4","1","0"
"2024-02-01T04:45:00+01:00","2024-02-01T05:00:00+01:00","19","20.0","8","10","0","1","0","0"
"2024-02-01T05:00:00+01:00","2024-02-01T05:15:00+01:00","33","39.3","16","11","1","5","0","0"
"2024-02-01T05:15:00+01:00","2024-02-01T05:30:00+01:00","33","37.3","25","4","1","3","0","0"
