From,To,Total,pcu,Car,Light goods vehicle,Heavy goods vehicle,Bus,Motorcycle,Bicycle
2024-01-01T00:00:00+01:00,2024-01-01T00:15:00+01:00,11,12,10,0,0,1,0,0
2024-01-01T00:15:00+01:00,2024-01-01T00:30:00+01:00,31,32.4,28,0,0,2,1,0
2024-01-01T00:30:00+01:00,2024-01-01T00:45:00+01:00,35,35,35,0,0,0,0,0
2024-01-01T00:45:00+01:00,2024-01-01T01:00:00+01:00,29,29,28,1,0,0,0,0
2024-01-01T01:00:00+01:00,2024-01-01T01:15:00+01:00,32,31.4,31,0,0,0,1,0
2024-01-01T01:15:00+01:00,2024-01-01T01:30:00+01:00,36,36,35,1,0,0,0,0
2024-01-01T01:30:00+01:00,2024-01-01T01:45:00+01:00,18,19,17,0,0,1,0,0
2024-01-01T01:45:00+01:00,2024-01-01T02:00:00+01:00,21,21,21,0,0,0,0,0
2024-01-01T02:00:00+01:00,2024-01-01T02:15:00+01:00,31,31.4,28,1,0,1,1,0
2024-01-01T02:15:00+01:00,2024-01-01T02:30:00+01:00,21,22,20,0,0,1,0,0
2024-01-01T02:30:00+01:00,2024-01-01T02:45:00+01:00,23,23,23,0,0,0,0,0
2024-01-01T02:45:00+01:00,2024-01-01T03:00:00+01:00,21,22,20,0,0,1,0,0
2024-01-01T03:00:00+01:00,2024-01-01T03:15:00+01:00,19,19,17,2,0,0,0,0
2024-01-01T03:15:00+01:00,2024-01-01T03:30:00+01:00,22,22,21,1,0,0,0,0
2024-01-01T03:30:00+01:00,2024-01-01T03:45:00+01:00,29,29,27,2,0,0,0,0
2024-01-01T03:45:00+01:00,2024-01-01T04:00:00+01:00,15,16,13,1,0,1,0,0
2024-01-01T04:00:00+01:00,2024-01-01T04:15:00+01:00,14,14,13,1,0,0,0,0
2024-01-01T04:15:00+01:00,2024-01-01T04:30:00+01:00,15,15,14,1,0,0,0,0
2024-01-01T04:30:00+01:00,2024-01-01T04:45:00+01:00,7,8.3,6,0,1,0,0,0
2024-01-01T04:45:00+01:00,2024-01-01T05:00:00+01:00,14,14,14,0,0,0,0,0
2024-01-01T05:00:00+01:00,2024-01-01T05:15:00+01:00,11,13,9,0,0,2,0,0
2024-01-01T05:15:00+01:00,2024-01-01T05:30:00+01:00,18,17.4,17,0,0,0,1,0
2024-01-01T05:30:00+01:00,2024-01-01T05:45:00+01:00,19,19.7,17,0,1,0,1,0
2024-01-01T05:45:00+01:00,2024-01-01T06:00:00+01:00,20,20.4,15,3,0,1,1,0
2024-01-01T06:00:00+01:00,2024-01-01T06:15:00+01:00,21,22,20,0,0,1,0,0
2024-01-01T06:15:00+01:00,2024-01-01T06:30:00+01:00,32,31.6,26,0,0,2,4,0
2024-01-01T06:30:00+01:00,2024-01-01T06:45:00+01:00,34,38.6,30,0,2,2,0,0
2024-01-01T06:45:00+01:00,2024-01-01T07:00:00+01:00,37,39.8,30,1,0,4,2,0
2024-01-01T07:00:00+01:00,2024-01-01T07:15:00+01:00,52,52.4,45,5,0,1,1,0
2024-01-01T07:15:00+01:00,2024-01-01T07:30:00+01:00,36,38,33,1,0,2,0,0
2024-01-01T07:30:00+01:00,2024-01-01T07:45:00+01:00,33,33.2,23,5,0,2,3,0
2024-01-01T07:45:00+01:00,2024-01-01T08:00:00+01:00,51,53.8,36,4,0,6,4,1
2024-01-01T08:00:00+01:00,2024-01-01T08:15:00+01:00,64,65.8,54,5,0,3,2,0
